species,PL_V_GP_10_I_1987,PL_V_GP_10_II_1987,PL_V_GP_5_1987,PL_V_GP_10_I_1988,PL_V_GP_10_II_1988,PL_V_GP_5_1988,PL_V_GP_10_I_1989,PL_V_GP_10_II_1989,PL_V_GP_5_1989,PL_V_GP_10_I_1990,PL_V_GP_10_II_1990,PL_V_GP_5_1990,PL_V_GP_10_I_1991,PL_V_GP_10_II_1991,PL_V_GP_5_1991,PL_V_GP_10_I_1992,PL_V_GP_10_II_1992,PL_V_GP_5_1992,PL_V_GP_10_I_1993,PL_V_GP_10_II_1993,PL_V_GP_5_1993,PL_V_GP_10_I_1994,PL_V_GP_10_II_1994,PL_V_GP_5_1994,PL_V_GP_10_I_1995,PL_V_GP_10_II_1995,PL_V_GP_5_1995,PL_V_GP_10_I_1996,PL_V_GP_10_II_1996,PL_V_GP_5_1996,PL_V_GP_10_I_1997,PL_V_GP_10_II_1997,PL_V_GP_5_1997,PL_V_GP_10_I_1998,PL_V_GP_10_II_1998,PL_V_GP_5_1998,PL_V_GP_10_I_1999,PL_V_GP_10_II_1999,PL_V_GP_5_1999,PL_V_GP_10_I_2000,PL_V_GP_10_II_2000,PL_V_GP_5_2000,PL_V_GP_10_I_2001,PL_V_GP_10_II_2001,PL_V_GP_5_2001,PL_V_GP_10_I_2002,PL_V_GP_10_II_2002,PL_V_GP_5_2002,PL_V_GP_10_I_2003,PL_V_GP_10_II_2003,PL_V_GP_5_2003,PL_V_GP_10_I_2004,PL_V_GP_10_II_2004,PL_V_GP_5_2004,PL_V_GP_10_I_2005,PL_V_GP_10_II_2005,PL_V_GP_5_2005,PL_V_GP_10_I_2006,PL_V_GP_10_II_2006,PL_V_GP_5_2006,PL_V_GP_10_I_2007,PL_V_GP_10_II_2007,PL_V_GP_5_2007,PL_V_GP_10_I_2008,PL_V_GP_10_II_2008,PL_V_GP_5_2008,PL_V_GP_10_I_2009,PL_V_GP_10_II_2009,PL_V_GP_5_2009,PL_V_GP_10_I_2010,PL_V_GP_10_II_2010,PL_V_GP_5_2010,PL_V_GP_10_I_2011,PL_V_GP_10_II_2011,PL_V_GP_5_2011,PL_V_GP_10_I_2012,PL_V_GP_10_II_2012,PL_V_GP_5_2012,PL_V_GP_10_I_2013,PL_V_GP_10_II_2013,PL_V_GP_5_2013,PL_V_GP_10_I_2014,PL_V_GP_10_II_2014,PL_V_GP_5_2014,PL_V_GP_10_I_2015,PL_V_GP_10_II_2015,PL_V_GP_5_2015,PL_V_GP_10_I_2016,PL_V_GP_10_II_2016,PL_V_GP_5_2016,PL_V_GP_10_I_2017,PL_V_GP_10_II_2017,PL_V_GP_5_2017,PL_V_GP_10_I_2018,PL_V_GP_10_II_2018,PL_V_GP_5_2018,PL_V_GP_10_I_2019,PL_V_GP_10_II_2019,PL_V_GP_5_2019
.Sedum tenellum Bieb.,0,0,0,0,0,9,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Sempervivum caucasicum Rupr. ex Boiss.,3,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,13,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
.Senecio aurantiacus (Hoppe ex Willd.) Less.,8,1,0,2,0,0,17,2,0,17,0,0,9,2,0,4,1,0,11,0,0,14,1,0,5,1,0,3,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,2,0,1,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
.Seseli alpinum Bieb.,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,6,0,0,2,0,0,4,0,0,6,0,0,6,0,0,0,0,0,1,0,0,0,0,0,10,0,0,6,0,0,13,0,0,0,0,0,13,0,0,18,0,0,36,0,0,20,0,0,14,0,0,42,0,0,16,0,0,14,0,0,5,0,0,10,0,0,3,0,0,21,0,0,10,0,0,16,0,1
.Sibbaldia procumbens L.,0,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,4,0,0,12,0,0,7,0,0,1,0,0,17,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0
.Silene saxatilis Sims,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Taraxacum stevenii DC.,13,7,0,29,4,0,34,12,0,31,9,0,43,10,0,26,12,0,17,15,0,36,24,0,56,19,2,38,10,0,43,22,0,41,32,0,5,11,0,26,1,0,6,0,0,27,12,2,20,9,0,43,7,2,44,15,0,26,18,0,47,34,0,51,43,0,18,30,0,41,32,0,17,1,0,9,0,1,15,2,0,15,0,0,6,1,0,1,0,0,18,4,0,0,0,0,10,4,2
.Trifolium badium Schreb.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Trisetum flavescens (L.) Beauv.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Vaccinium vitis-idaea L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Veronica gentianoides Vahl,1,2,0,13,6,0,16,10,0,3,4,0,6,7,1,6,14,0,6,5,0,15,22,1,1,2,0,3,7,1,0,9,0,1,0,0,0,1,0,4,0,2,5,4,0,1,10,0,5,8,0,1,3,1,0,0,1,1,0,0,1,0,2,3,1,0,4,6,3,15,13,2,12,11,4,8,7,1,1,2,1,8,10,5,5,3,1,7,2,1,8,9,6,1,1,7,8,7,2
.Viola altaica Ker.-Gawl.,4,5,0,4,0,0,18,14,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,15,1,0,1,1,0,0,0,0,0,1,0,0,0,0,6,6,1,3,2,3,5,8,3,14,9,11,1,6,0,9,18,7,1,4,0,0,25,1,3,9,3,2,14,1,0,0,0,3,24,1
