species,PL_V_GP_10_I_1987,PL_V_GP_10_II_1987,PL_V_GP_5_1987,PL_V_GP_10_I_1988,PL_V_GP_10_II_1988,PL_V_GP_5_1988,PL_V_GP_10_I_1989,PL_V_GP_10_II_1989,PL_V_GP_5_1989,PL_V_GP_10_I_1990,PL_V_GP_10_II_1990,PL_V_GP_5_1990,PL_V_GP_10_I_1991,PL_V_GP_10_II_1991,PL_V_GP_5_1991,PL_V_GP_10_I_1992,PL_V_GP_10_II_1992,PL_V_GP_5_1992,PL_V_GP_10_I_1993,PL_V_GP_10_II_1993,PL_V_GP_5_1993,PL_V_GP_10_I_1994,PL_V_GP_10_II_1994,PL_V_GP_5_1994,PL_V_GP_10_I_1995,PL_V_GP_10_II_1995,PL_V_GP_5_1995,PL_V_GP_10_I_1996,PL_V_GP_10_II_1996,PL_V_GP_5_1996,PL_V_GP_10_I_1997,PL_V_GP_10_II_1997,PL_V_GP_5_1997,PL_V_GP_10_I_1998,PL_V_GP_10_II_1998,PL_V_GP_5_1998,PL_V_GP_10_I_1999,PL_V_GP_10_II_1999,PL_V_GP_5_1999,PL_V_GP_10_I_2000,PL_V_GP_10_II_2000,PL_V_GP_5_2000,PL_V_GP_10_I_2001,PL_V_GP_10_II_2001,PL_V_GP_5_2001,PL_V_GP_10_I_2002,PL_V_GP_10_II_2002,PL_V_GP_5_2002,PL_V_GP_10_I_2003,PL_V_GP_10_II_2003,PL_V_GP_5_2003,PL_V_GP_10_I_2004,PL_V_GP_10_II_2004,PL_V_GP_5_2004,PL_V_GP_10_I_2005,PL_V_GP_10_II_2005,PL_V_GP_5_2005,PL_V_GP_10_I_2006,PL_V_GP_10_II_2006,PL_V_GP_5_2006,PL_V_GP_10_I_2007,PL_V_GP_10_II_2007,PL_V_GP_5_2007,PL_V_GP_10_I_2008,PL_V_GP_10_II_2008,PL_V_GP_5_2008,PL_V_GP_10_I_2009,PL_V_GP_10_II_2009,PL_V_GP_5_2009,PL_V_GP_10_I_2010,PL_V_GP_10_II_2010,PL_V_GP_5_2010,PL_V_GP_10_I_2011,PL_V_GP_10_II_2011,PL_V_GP_5_2011,PL_V_GP_10_I_2012,PL_V_GP_10_II_2012,PL_V_GP_5_2012,PL_V_GP_10_I_2013,PL_V_GP_10_II_2013,PL_V_GP_5_2013,PL_V_GP_10_I_2014,PL_V_GP_10_II_2014,PL_V_GP_5_2014,PL_V_GP_10_I_2015,PL_V_GP_10_II_2015,PL_V_GP_5_2015,PL_V_GP_10_I_2016,PL_V_GP_10_II_2016,PL_V_GP_5_2016,PL_V_GP_10_I_2017,PL_V_GP_10_II_2017,PL_V_GP_5_2017,PL_V_GP_10_I_2018,PL_V_GP_10_II_2018,PL_V_GP_5_2018,PL_V_GP_10_I_2019,PL_V_GP_10_II_2019,PL_V_GP_5_2019
.Hieracium umbellatum L.,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,1,0,0,2,0,0,1,0,0,2,0,0,2,0,0,2,0,0,0,0,0,3,0,0
.Hypericum linarioides Bosse,0,0,0,0,0,0,7,0,0,8,0,0,6,1,0,0,0,0,5,5,0,0,0,0,62,5,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,10,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0
.Leontodon  hispidus L.,79,20,7,44,19,6,155,140,61,188,83,43,71,56,20,53,46,14,63,46,30,94,41,20,50,22,12,109,59,32,155,145,12,198,185,42,20,16,4,43,0,16,84,40,11,102,137,38,80,109,23,89,67,26,83,65,10,46,37,14,28,16,5,121,75,31,36,28,4,62,30,18,83,15,20,18,5,2,44,14,7,109,13,8,44,1,0,11,1,0,114,29,10,21,1,2,60,20,1
.Luzula multiflora (Retz.) Lej.,0,0,1,0,0,8,10,1,0,4,0,0,3,0,3,0,0,0,7,0,1,2,1,0,0,2,0,2,0,0,5,0,0,8,0,1,0,0,6,4,0,9,0,0,0,0,0,5,3,0,0,4,0,0,5,0,6,2,0,1,0,0,0,2,0,5,4,0,6,6,0,0,0,0,0,0,0,4,0,0,0,3,8,0,0,9,0,0,0,0,0,10,0,0,0,0,0,12,0
.Luzula spicata (L.) DC.,0,0,1,0,0,0,0,0,13,0,0,2,0,0,6,8,0,5,0,0,14,0,0,13,0,0,7,0,0,10,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,7,0,0,10,0,0,0,0,2,3,0,2,5,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0
.Matricaria caucasica (Willd.) Poir.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,4,0,0,6,0,0,9,0,0,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
.Minuartia aizoides (Boiss.) Bornm.,2,2,15,2,33,17,0,14,32,0,4,5,0,6,3,0,2,32,0,1,32,0,3,25,0,1,55,0,0,25,0,7,14,0,4,22,0,1,0,0,6,0,0,6,17,0,7,51,0,1,4,0,5,8,117,22,12,0,0,22,0,3,13,3,18,28,1,5,36,0,16,26,0,6,26,0,5,12,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
.Minuartia circassica (Albov) Woronow,9,0,23,18,0,22,26,0,24,0,0,22,1,0,24,0,0,15,0,0,15,6,0,10,5,0,13,1,0,6,0,0,3,2,0,5,2,0,0,3,0,7,3,16,15,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,3,1,0,2,0,0,2,0,0,4,0,12,4,0,0,2
.Minuartia recurva (All.)Schinz et Thell.,134,0,13,112,3,16,143,0,13,63,0,5,73,0,0,71,0,0,115,0,3,153,0,17,146,9,25,69,4,0,112,0,24,100,27,24,133,18,18,98,21,49,95,0,12,23,11,4,139,6,13,147,20,20,6,0,27,106,0,2,113,1,5,196,15,8,124,4,22,75,10,18,99,11,16,17,7,6,20,17,6,16,27,6,16,13,3,11,3,1,15,2,2,0,0,0,1,34,1
.Myosotis alpestris F.W.Schmidt,21,0,0,20,0,0,20,0,0,25,0,0,16,0,0,2,0,0,7,0,0,12,0,0,13,0,0,7,0,0,11,0,0,21,0,0,5,0,0,1,0,0,6,0,0,5,0,0,16,0,0,20,0,0,11,0,0,9,0,0,20,0,0,11,0,0,15,0,0,41,0,0,20,0,0,30,0,0,29,0,0,23,0,0,17,0,0,8,0,1,9,0,3,10,0,0,27,2,1
