species,PL_N_GP_10_I_1987,PL_N_GP_10_II_1987,PL_N_GP_5_1987,PL_N_GP_10_I_1988,PL_N_GP_10_II_1988,PL_N_GP_5_1988,PL_N_GP_10_I_1989,PL_N_GP_10_II_1989,PL_N_GP_5_1989,PL_N_GP_10_I_1990,PL_N_GP_10_II_1990,PL_N_GP_5_1990,PL_N_GP_10_I_1991,PL_N_GP_10_II_1991,PL_N_GP_5_1991,PL_N_GP_10_I_1992,PL_N_GP_10_II_1992,PL_N_GP_5_1992,PL_N_GP_10_I_1993,PL_N_GP_10_II_1993,PL_N_GP_5_1993,PL_N_GP_10_I_1994,PL_N_GP_10_II_1994,PL_N_GP_5_1994,PL_N_GP_10_I_1995,PL_N_GP_10_II_1995,PL_N_GP_5_1995,PL_N_GP_10_I_1996,PL_N_GP_10_II_1996,PL_N_GP_5_1996,PL_N_GP_10_I_1997,PL_N_GP_10_II_1997,PL_N_GP_5_1997,PL_N_GP_10_I_1998,PL_N_GP_10_II_1998,PL_N_GP_5_1998,PL_N_GP_10_I_1999,PL_N_GP_10_II_1999,PL_N_GP_5_1999,PL_N_GP_10_I_2000,PL_N_GP_10_II_2000,PL_N_GP_5_2000,PL_N_GP_10_I_2001,PL_N_GP_10_II_2001,PL_N_GP_5_2001,PL_N_GP_10_I_2002,PL_N_GP_10_II_2002,PL_N_GP_5_2002,PL_N_GP_10_I_2003,PL_N_GP_10_II_2003,PL_N_GP_5_2003,PL_N_GP_10_I_2004,PL_N_GP_10_II_2004,PL_N_GP_5_2004,PL_N_GP_10_I_2005,PL_N_GP_10_II_2005,PL_N_GP_5_2005,PL_N_GP_10_I_2006,PL_N_GP_10_II_2006,PL_N_GP_5_2006,PL_N_GP_10_I_2007,PL_N_GP_10_II_2007,PL_N_GP_5_2007,PL_N_GP_10_I_2008,PL_N_GP_10_II_2008,PL_N_GP_5_2008,PL_N_GP_10_I_2009,PL_N_GP_10_II_2009,PL_N_GP_5_2009,PL_N_GP_10_I_2010,PL_N_GP_10_II_2010,PL_N_GP_5_2010,PL_N_GP_10_I_2011,PL_N_GP_10_II_2011,PL_N_GP_5_2011,PL_N_GP_10_I_2012,PL_N_GP_10_II_2012,PL_N_GP_5_2012,PL_N_GP_10_I_2013,PL_N_GP_10_II_2013,PL_N_GP_5_2013,PL_N_GP_10_I_2014,PL_N_GP_10_II_2014,PL_N_GP_5_2014,PL_N_GP_10_I_2015,PL_N_GP_10_II_2015,PL_N_GP_5_2015,PL_N_GP_10_I_2016,PL_N_GP_10_II_2016,PL_N_GP_5_2016,PL_N_GP_10_I_2017,PL_N_GP_10_II_2017,PL_N_GP_5_2017,PL_N_GP_10_I_2018,PL_N_GP_10_II_2018,PL_N_GP_5_2018,PL_N_GP_10_I_2019,PL_N_GP_10_II_2019,PL_N_GP_5_2019
.Centaurea cheiranthifolia Willd.,3,11,0,11,8,0,21,7,0,5,1,0,8,5,0,8,0,0,8,10,0,5,0,0,1,2,0,4,0,0,4,0,0,3,1,0,2,2,0,12,2,0,7,5,0,10,0,0,22,0,0,4,7,0,18,3,0,10,0,0,8,3,0,11,0,0,3,3,0,5,1,0,2,0,0,4,7,0,6,4,0,7,4,0,5,3,0,3,2,0,2,1,0,5,3,0,2,0,0
.Cerastium purpurascens Adams,0,17,0,0,8,0,0,10,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Chaerophyllum roseum Bieb.,0,3,0,0,4,0,0,6,0,0,5,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,7,0,0,8,0,0,6,0,0,5,0,0,3,0,0,11,0,0,11,0,0,14,0,0,7,0,0,9,0,0,30,0,0,0,0
.Cicerbita racemosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Coeloglossum viride (L.) C.Hartm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
.Cruciata laevipes Opiz,43,36,0,114,128,0,203,123,0,300,39,0,116,32,0,364,79,0,213,30,0,109,14,0,111,7,0,59,5,0,80,4,0,86,0,0,69,9,0,61,20,0,84,12,0,72,21,0,145,0,0,126,54,0,245,3,0,117,67,0,150,58,0,161,73,0,147,8,0,51,22,0,28,41,0,20,24,0,12,18,0,0,2,0,3,5,0,6,8,0,4,14,0,2,12,0,81,25,0
.Deschampsia flexuosa (L.) Trin.,0,0,0,0,10,2,0,144,41,0,1,31,0,117,236,0,20,16,0,18,8,0,44,21,0,4,17,0,27,2,0,22,48,0,48,16,0,18,36,57,28,13,0,38,94,0,116,25,0,141,73,0,118,134,13,139,47,0,5,5,0,20,18,0,100,82,0,233,235,0,46,46,0,108,791,0,11,54,0,26,9,0,96,33,0,83,66,0,12,17,0,80,271,0,1,1,0,34,20
.Draba sibirica (Pall.) Thell.,34,11,0,56,0,0,21,45,0,0,0,0,0,0,0,4,0,0,41,21,0,53,19,0,22,21,0,46,5,0,62,15,0,9,3,0,66,0,0,0,5,0,1,0,0,2,0,0,64,0,0,50,0,0,49,5,0,67,1,0,39,11,0,73,4,0,65,14,0,111,0,0,71,0,0,55,0,0,63,1,0,8,1,0,27,0,0,20,1,0,29,4,0,0,4,0,8,14,0
.Erigeron caucasicus Stev.,1,2,3,6,12,11,3,15,0,4,18,12,2,12,5,3,5,2,1,16,13,17,31,6,9,28,6,2,17,3,0,8,0,1,14,1,1,3,1,3,0,2,1,14,0,2,31,1,3,25,3,2,34,4,0,33,5,0,7,0,0,8,1,0,18,2,0,8,1,0,19,1,1,4,0,0,8,0,1,4,0,0,8,1,1,8,3,0,2,0,1,12,8,0,3,0,2,18,3
.Euphrasia ossica Juz.,0,36,0,0,39,28,0,201,0,0,26,0,0,0,0,0,3,0,0,0,0,0,9,0,0,40,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,170,0,0,106,0,0,77,0,0,210,0,0,427,0,1,350,0,0,182,5,2,25,1,1,51,29,0,16,5,0,12,8,0,10,97,0,0,36,0,1,9,0,6,32,0,0,43,0,14,96
.Festuca brunnescens (Tzvel.) Galushko,6,0,0,12,17,9,98,118,44,26,23,2,43,136,15,20,30,2,23,21,9,40,39,2,25,39,1,72,85,11,145,103,23,43,114,7,1,20,0,25,96,6,5,2,0,3,78,12,43,127,56,30,55,5,47,83,8,12,35,9,11,86,7,26,115,6,38,192,12,33,60,45,10,19,33,29,20,11,21,21,1,20,23,2,24,23,1,2,2,1,6,14,0,2,1,0,5,11,0
.Festuca ovina L.,2,10,4,0,0,3,51,73,84,11,13,118,13,40,271,5,35,112,11,6,51,6,33,59,14,57,78,0,48,46,44,61,66,30,138,129,2,4,13,0,31,20,0,25,3,9,2,16,1,27,40,1,24,94,3,39,48,1,8,7,4,16,21,12,43,86,0,18,33,3,7,54,1,6,91,0,2,42,3,18,84,16,17,92,3,19,92,2,4,12,3,14,110,0,10,8,7,20,33
.Festuca varia Haenke,59,16,4,409,138,4,2820,2309,447,106,83,62,1701,1348,531,152,88,61,1812,1002,416,299,281,92,711,735,277,658,478,140,1111,747,181,1135,664,327,28,27,0,1546,898,253,151,42,59,591,408,176,1199,685,254,224,166,75,245,158,34,179,95,11,97,73,5,586,570,28,691,833,92,571,573,259,268,338,100,365,443,103,641,906,142,1507,1385,429,214,223,68,12,11,3,769,998,136,75,23,0,139,199,25
.Fritillaria lutea Mill.,5,6,0,1,6,0,2,7,0,3,9,0,1,0,0,3,1,0,3,10,0,6,7,1,1,0,0,4,2,0,6,15,0,6,7,0,4,7,1,3,3,0,3,11,0,2,5,0,2,16,0,5,12,1,5,13,0,10,16,0,7,9,0,5,4,0,15,10,1,0,14,0,4,1,0,6,1,0,7,14,1,2,13,0,18,12,1,2,3,0,1,10,1,20,22,3,18,30,0
.Gagea fistulosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Galium verum L.,285,329,91,364,322,0,346,283,60,563,376,60,283,255,48,396,327,64,434,318,69,283,352,59,442,419,76,510,434,97,490,257,122,253,232,74,293,184,78,265,188,88,421,99,40,137,58,42,229,147,108,94,99,47,175,181,68,109,63,55,170,82,38,144,126,33,104,144,48,135,153,32,134,121,25,92,139,15,52,25,6,34,35,10,43,37,13,28,31,8,37,48,13,46,65,15,44,88,17
.Gentiana biebersteinii Bunge,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,8,0,0,0,0,4,19,3,0,3,0,1,2,0,0,1,1,0,10,2,0,0,0,1,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0
.Gentiana pyrenaica L.,0,9,82,0,0,89,0,7,8,0,0,5,0,0,2,0,0,7,0,0,16,0,1,40,0,0,19,0,0,39,0,0,54,0,2,62,0,0,1,0,1,12,0,0,11,0,0,4,0,13,42,0,9,33,0,0,73,0,0,53,0,0,70,0,0,82,0,0,124,0,0,30,0,0,13,0,0,18,0,0,51,0,0,17,0,0,6,0,0,17,0,0,14,0,0,0,0,0,12
.Gentiana septemfida Pall.,26,2,0,17,3,0,40,5,0,19,7,0,25,0,0,0,0,0,0,0,0,31,15,0,39,8,0,26,11,1,1,7,0,8,0,0,13,0,0,14,0,0,20,6,0,25,1,0,16,9,0,12,5,0,35,17,1,11,5,0,9,8,0,17,16,0,7,10,0,27,10,0,7,4,0,12,8,0,29,8,0,32,7,0,21,3,0,14,4,0,17,5,0,16,4,0,21,4,0
.Gentiana verna L.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Geranium gymnocaulon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,2,0
.Gnaphalium supinum L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Gymnadenia conopsea (L.) R.Br.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Hedysarum caucasicum Bieb.,0,0,10,0,0,23,0,0,6,0,0,2,0,0,3,0,0,4,0,0,6,0,3,9,0,2,7,0,0,6,0,0,2,0,0,5,0,2,15,0,0,4,0,0,13,0,0,17,0,0,14,0,0,20,0,0,16,0,0,32,0,0,33,3,0,27,3,0,59,5,0,34,9,0,40,12,0,46,14,0,32,8,2,53,9,5,67,23,0,47,15,0,71,41,2,71,22,9,85
.Helictotrichon versicolor (Vill.) Pillger,0,0,0,0,0,0,0,106,0,3,4,0,0,0,0,1,2,0,0,0,0,21,29,0,10,5,0,22,32,0,74,64,0,20,29,0,0,1,0,0,15,0,3,3,0,0,0,0,12,32,0,0,19,0,5,1,0,0,8,0,0,0,0,13,70,0,10,21,0,6,13,0,3,31,0,15,23,0,24,69,0,8,31,0,10,26,0,0,0,0,6,2,0,0,4,0,2,5,0
.Heracleum leskowii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
.Hieracium auricula L. gr.,1,0,0,5,0,0,0,1,0,4,0,0,2,0,0,10,0,0,3,0,0,3,0,0,0,0,0,9,0,0,22,0,0,13,0,0,0,0,0,3,0,0,13,0,0,20,1,0,11,0,0,36,0,0,0,0,0,17,0,0,0,0,0,45,0,0,18,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
.Hieracium macrolepis Boiss.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,3,0,0,3,0,10,3,0,0,2,0,0,3,0,0,4,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0
.Hieracium prenanthoides Vill. gr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
.Hieracium umbellatum L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Hypericum linarioides Bosse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Leontodon  hispidus L.,18,101,1,66,111,0,23,379,24,21,168,2,3,194,6,2,77,2,3,53,12,8,175,12,6,127,6,13,200,24,12,75,3,15,437,36,4,42,24,6,205,16,18,198,10,15,278,29,16,167,18,4,237,15,11,172,9,0,71,0,1,41,4,9,117,16,7,45,5,29,91,15,7,32,13,9,30,4,4,26,4,11,57,20,6,47,7,4,10,2,11,121,26,18,63,6,19,78,26
.Luzula multiflora (Retz.) Lej.,2,20,0,2,22,0,7,74,0,16,22,0,7,35,0,4,18,0,8,19,1,0,0,0,8,0,0,14,20,2,15,13,0,6,10,3,2,0,0,5,7,0,0,0,0,0,0,0,2,3,0,9,2,0,16,5,1,0,5,0,3,12,0,1,7,0,6,13,0,5,12,0,1,4,0,0,0,0,1,7,0,8,12,0,4,8,0,0,2,0,0,3,0,0,0,0,0,0,0
.Luzula spicata (L.) DC.,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Matricaria caucasica (Willd.) Poir.,1,0,0,0,0,0,18,0,0,15,0,0,2,0,0,4,0,0,2,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Minuartia aizoides (Boiss.) Bornm.,0,0,31,0,0,26,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Minuartia circassica (Albov) Woronow,0,0,9,0,0,24,0,0,14,0,0,11,0,0,24,0,0,13,0,0,11,0,0,33,0,0,35,0,0,28,0,0,20,0,0,41,0,0,0,0,0,24,0,0,17,0,0,21,0,0,27,0,0,56,0,0,52,0,0,30,0,0,56,0,0,29,0,0,32,0,0,21,0,0,33,0,0,28,0,0,14,0,0,12,0,0,26,0,0,25,0,0,34,0,0,10,0,0,12
.Minuartia recurva (All.)Schinz et Thell.,0,2,1,0,0,38,0,0,6,0,0,10,0,0,23,0,0,0,0,0,15,0,0,16,0,0,26,0,0,39,0,0,51,0,0,67,0,0,84,0,0,21,0,0,4,0,0,10,0,0,46,0,0,27,0,0,0,0,0,11,0,0,19,0,0,24,0,0,18,0,0,26,0,0,19,0,0,4,0,0,1,0,0,6,0,0,2,0,0,2,0,0,9,0,0,0,0,0,8
.Myosotis alpestris F.W.Schmidt,37,38,0,62,54,0,38,74,0,68,90,0,26,69,0,11,28,0,10,36,0,11,49,0,6,60,0,3,30,0,2,21,0,0,32,0,0,3,0,0,18,0,0,33,0,0,33,0,0,56,0,2,44,0,1,63,0,1,7,0,4,44,0,2,23,0,0,38,0,1,25,0,6,47,0,0,48,0,5,57,0,7,41,0,6,35,0,0,12,0,7,14,0,15,22,0,13,85,0
.Nardus stricta L.,2,43,16,216,262,68,215,388,174,111,102,249,353,378,247,168,241,252,0,61,20,158,627,339,56,154,76,552,614,344,1141,1076,280,269,928,347,2,110,11,107,539,109,3,63,8,252,232,36,318,409,140,131,428,57,195,523,62,128,255,42,1121,1847,320,1608,2109,242,161,252,49,238,390,95,1329,783,656,171,276,69,461,357,85,79,84,37,555,294,258,146,87,56,169,316,373,22,30,2,791,1428,606
.Pedicularis comosa L.,0,2,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,1,0,2,2,0,1,1,0,2,0,0,0,1,0,0,0
.Pedicularis condensata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
.Plantago atrata Hoppe,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,4,0,0,4,0,0,12,0,0,2,0,0,2,0,0,3,1,0,0,0,0,0,2,0,3,1,1,2,2,0,5,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0
.Poa alpina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
.Poa longifolia Trin.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0
.Poa pratensis L.,0,0,0,0,0,0,0,0,0,1,4,0,1,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,3,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,13,0,3,8,0,1,5,0,0,11,0,2,20,0,2,3,0,3,6,0,1,2,0,0,0,0
.Polygala alpina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,5,0,0,9,0,0,7,0,0,14,0,0,7,0,0,1,0
.Polygonum bistorta L.,24,2,0,55,33,0,37,4,0,28,0,0,14,0,0,2,0,0,28,4,0,21,2,0,7,0,0,4,0,0,3,0,0,5,0,0,32,3,0,22,2,0,11,1,0,9,3,0,0,5,0,12,1,0,6,1,0,2,3,0,15,7,0,23,7,0,35,5,0,43,9,0,50,23,0,36,14,0,18,4,0,14,5,0,24,4,0,25,6,0,31,8,0,23,7,0,25,9,0
